taken_from,word_count_mean,word_count_max,word_count_min,rt_count_max,rt_count_mean,like_count_mean,like_count_max,hourly_tweet_mean,replyCount_mean,replyCount_max,unique_reply_count,hashtagCount_max,hashtagCount_mean,links_count_mean,photos_count_all_mean,photos_count_original_mean,videos_count_all_mean,videos_count_original_mean,mentionCount_mean,mentionCount_max
49503473,25.22222222222222,58,2,2.0,0.3333333333333333,1.8888888888888888,11.0,3.6218262688305844,0.6666666666666666,7.0,4,1,0.18421052631578946,0.0,0.13157894736842105,0.1111111111111111,0.10526315789473684,0.0,3.7777777777777777,18
49521161,8.176470588235293,17,1,0.0,0.0,0.8823529411764706,6.0,0.002333241299926503,0.7647058823529411,2.0,3,2,0.07317073170731707,0.0,0.07317073170731707,0.0,0.024390243902439025,0.0,0.9411764705882353,2
49536214,7.75,14,4,16.0,4.0,8.75,35.0,0.0006934558852235739,1.25,4.0,3,0,0.0,0.475,0.075,0.25,0.0,0.0,0.0,0
49538700,29.571428571428573,51,6,2.0,0.42857142857142855,4.571428571428571,12.0,1.044403255701507,0.8571428571428571,6.0,2,2,0.2777777777777778,0.05555555555555555,0.4722222222222222,1.4285714285714286,0.2222222222222222,0.0,0.7142857142857143,3
49540613,9.533333333333333,29,2,235.0,17.933333333333334,292.4,2564.0,0.0006169129316594488,6.066666666666666,32.0,7,1,0.1282051282051282,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,2.0,4
49544843,23.125,54,7,4.0,0.3125,6.0625,53.0,0.007150173099448523,0.375,3.0,3,3,0.4857142857142857,0.2,0.42857142857142855,0.25,0.0,0.0,1.125,4
49586895,25.375,44,6,46.0,4.0625,21.375,273.0,0.03232263531063207,1.875,29.0,3,2,0.4,0.34285714285714286,0.42857142857142855,0.125,0.02857142857142857,0.0,0.875,2
49588164,10.263157894736842,26,1,15.0,1.1578947368421053,8.157894736842104,53.0,0.003274309524925984,0.8421052631578947,4.0,4,1,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.05263157894736842,0.0,0.0,1.3157894736842106,8
49607518,11.529411764705882,30,0,0.0,0.0,0.5294117647058824,2.0,0.013733786502046194,0.058823529411764705,1.0,2,0,0.0,0.0,0.45454545454545453,0.47058823529411764,0.09090909090909091,0.0,0.058823529411764705,1
49617227,24.0,50,2,1.0,0.25,0.7,3.0,0.0018630214512947458,0.0,0.0,1,2,0.3,0.6,0.95,0.95,0.0,0.0,0.55,2
49657979,31.8,305,2,187.0,44.95,740.35,2655.0,0.002975720894837627,30.4,179.0,17,4,0.6,0.04,0.88,1.1,0.32,0.35,0.1,1
49658852,12.277777777777779,21,4,39.0,5.666666666666667,5.277777777777778,31.0,1.0557432432432432,0.6111111111111112,3.0,4,1,0.08,0.72,0.0,0.0,0.08,0.0,0.9444444444444444,2
49670748,16.333333333333332,32,3,11.0,1.7777777777777777,49.666666666666664,425.0,0.043108290914751594,6.0,52.0,3,3,0.6470588235294118,0.17647058823529413,0.17647058823529413,0.1111111111111111,0.23529411764705882,0.1111111111111111,1.6666666666666667,4
49698134,36.6,47,4,226.0,60.8,235.6,681.0,0.010988902903885425,281.8,1332.0,5,2,0.5,0.4444444444444444,0.3055555555555556,0.8,0.2222222222222222,0.0,0.8,3
49709710,29.789473684210527,43,2,813.0,108.36842105263158,997.0,3497.0,0.14331210191082802,13.052631578947368,102.0,13,1,0.07142857142857142,0.17857142857142858,0.5,0.631578947368421,0.03571428571428571,0.05263157894736842,0.05263157894736842,1
49718002,14.0,31,1,1.0,0.0625,1.125,5.0,0.022219180185049058,0.1875,1.0,2,5,0.358974358974359,0.38461538461538464,0.3076923076923077,0.0,0.0,0.0,1.5625,7
49727721,17.956521739130434,72,2,316.0,14.478260869565217,46.65217391304348,985.0,0.12730074719288695,1.6521739130434783,29.0,5,1,0.06976744186046512,0.11627906976744186,0.20930232558139536,0.17391304347826086,0.023255813953488372,0.043478260869565216,1.434782608695652,2
49729058,17.833333333333332,51,2,13.0,1.0555555555555556,1.1111111111111112,16.0,0.05953599136728125,0.16666666666666666,2.0,3,1,0.16666666666666666,0.6666666666666666,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0
49755033,14.1875,45,1,1.0,0.0625,0.25,1.0,0.002170798101255704,0.0625,1.0,2,1,0.13513513513513514,0.2972972972972973,0.16216216216216217,0.0,0.02702702702702703,0.0,0.4375,3
49773236,21.0,40,6,14.0,2.769230769230769,9.923076923076923,66.0,0.0013475939601631406,0.15384615384615385,1.0,2,1,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,1.5384615384615385,4
49901629,27.428571428571427,58,3,1.0,0.14285714285714285,1.8571428571428572,4.0,0.004602351363227432,0.14285714285714285,1.0,2,2,0.34285714285714286,0.2857142857142857,0.11428571428571428,0.14285714285714285,0.08571428571428572,0.14285714285714285,1.0,2
49908049,18.545454545454547,41,6,0.0,0.0,1.3636363636363635,4.0,0.027564710345210807,0.45454545454545453,4.0,3,3,0.45714285714285713,0.11428571428571428,0.42857142857142855,0.0,0.05714285714285714,0.0,1.2727272727272727,4
